Year,AC_No,AC_Name,AC_Type,Cand,Sex,Party,Turnout
1998,25,JAMNAGAR,GEN,KHATTAR_PARMANAND_VISHANDAS,M,BJP,42.87
1998,26,JAMNAGAR_RURAL,SC,ZALA_MANHARBHAI_VALJI,M,BJP,36.81
1998,16,JASDAN,GEN,KUNVARJIBHAI_MOHANBHAI_BAVALIYA,M,INC,57.67
1998,21,JETPUR,GEN,KORAT_SAVJIBHAI_JIVRAJBHAI,M,BJP,45.52
1998,142,JETPUR-I,GEN,RATHWA_MOHANSINH_CHOTUBHAI,M,INC,57.74
1998,158,JHAGADIA,ST,VASAVA_CHHOTUBHAI_AMARSANG,M,JD,63.36
1998,112,JHALOD,ST,MACHHAR_DITABHAI_BHIMABHAI,M,INC,53.25
1998,24,JODIYA,GEN,KASUNDRA_MAGANBHAI_AMBABHAI,M,BJP,61.56
1998,82,JOTANA,SC,ISHVARBHAI_DHANABHAI_MAKWANA,M,BJP,63.54
1998,42,JUNAGADH,GEN,MASHARU_MAHENDRABHAI_LILADHAR,M,BJP,40.9
1998,81,KADI,GEN,NITIN_RATILAL_PATEL,M,BJP,70.96
1998,27,KALAWAD,GEN,FALDU_RANCHHOD_CHANABHAI,M,BJP,53.15
1998,119,KALOL,GEN,CHAUHAN_P.P.,M,BJP,55.95
1998,80,KALOL-I,GEN,PATEL_SURESHKUMAR_CHATURDAS,M,INC,63.47
1998,71,KALUPUR,GEN,SHAIKHMOHMMAD_FARUK_H.,M,INC,60.77
1998,167,KAMREJ,ST,RATHOD_RAMANBHAI_CHHANABHAI,M,INC,64.87
1998,97,KANKREJ,GEN,VAGHELA_MAGANSINH_CHIMANSINH,M,BJP,65.9
1998,125,KAPADVANJ,GEN,BIMAL_SHAH,M,BJP,59.51
1998,153,KARJAN,SC,DABHI_CHANDUBHAI_MOTIBHAI,M,INC,63.09
1998,128,KATHLAL,GEN,ZALA_GAUTAMBHAI_JESANGBHAI,M,AIRJP,60.48
1998,36,KESHOD,SC,RATHOD_SAMATBHAI_AALABHAI,M,BJP,49.03
1998,75,KHADIA,GEN,ASHOK_BHATT,M,BJP,50.52
1998,30,KHAMBHALIA,GEN,CHAVDA_KARU_NARAN,M,BJP,52.89
1998,103,KHEDBRAHMA,ST,AMARSINH_BHILABHAI_CHAUDHARY,M,INC,62.42
1998,87,KHERALU,GEN,THAKOR_SHREE_SHANKARJI_OKHAJI,M,INC,70.82
1998,47,KODINAR,GEN,SOLANKI_DINUBHAI_BOGHABHAI,M,BJP,62.77
